Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18009_001
06037502402,14000US06037502402,Census Tract 5024.02,"Census Tract 5024.02, Los Angeles County, California",ca,140,0,ACSSF,5357,,,,,6,37,,,,502402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703
06037502500,14000US06037502500,Census Tract 5025,"Census Tract 5025, Los Angeles County, California",ca,140,0,ACSSF,5358,,,,,6,37,,,,502500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325
06037502601,14000US06037502601,Census Tract 5026.01,"Census Tract 5026.01, Los Angeles County, California",ca,140,0,ACSSF,5359,,,,,6,37,,,,502601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829
06037502602,14000US06037502602,Census Tract 5026.02,"Census Tract 5026.02, Los Angeles County, California",ca,140,0,ACSSF,5360,,,,,6,37,,,,502602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302
06037502700,14000US06037502700,Census Tract 5027,"Census Tract 5027, Los Angeles County, California",ca,140,0,ACSSF,5361,,,,,6,37,,,,502700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554
06037502801,14000US06037502801,Census Tract 5028.01,"Census Tract 5028.01, Los Angeles County, California",ca,140,0,ACSSF,5362,,,,,6,37,,,,502801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032
06037502802,14000US06037502802,Census Tract 5028.02,"Census Tract 5028.02, Los Angeles County, California",ca,140,0,ACSSF,5363,,,,,6,37,,,,502802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379
06037502901,14000US06037502901,Census Tract 5029.01,"Census Tract 5029.01, Los Angeles County, California",ca,140,0,ACSSF,5364,,,,,6,37,,,,502901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976
06037502902,14000US06037502902,Census Tract 5029.02,"Census Tract 5029.02, Los Angeles County, California",ca,140,0,ACSSF,5365,,,,,6,37,,,,502902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470
06037503000,14000US06037503000,Census Tract 5030,"Census Tract 5030, Los Angeles County, California",ca,140,0,ACSSF,5366,,,,,6,37,,,,503000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488
06037503103,14000US06037503103,Census Tract 5031.03,"Census Tract 5031.03, Los Angeles County, California",ca,140,0,ACSSF,5367,,,,,6,37,,,,503103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
06037503104,14000US06037503104,Census Tract 5031.04,"Census Tract 5031.04, Los Angeles County, California",ca,140,0,ACSSF,5368,,,,,6,37,,,,503104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599
06037503105,14000US06037503105,Census Tract 5031.05,"Census Tract 5031.05, Los Angeles County, California",ca,140,0,ACSSF,5369,,,,,6,37,,,,503105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536
06037503106,14000US06037503106,Census Tract 5031.06,"Census Tract 5031.06, Los Angeles County, California",ca,140,0,ACSSF,5370,,,,,6,37,,,,503106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774
06037503201,14000US06037503201,Census Tract 5032.01,"Census Tract 5032.01, Los Angeles County, California",ca,140,0,ACSSF,5371,,,,,6,37,,,,503201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825
06037503202,14000US06037503202,Census Tract 5032.02,"Census Tract 5032.02, Los Angeles County, California",ca,140,0,ACSSF,5372,,,,,6,37,,,,503202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357
06037503301,14000US06037503301,Census Tract 5033.01,"Census Tract 5033.01, Los Angeles County, California",ca,140,0,ACSSF,5373,,,,,6,37,,,,503301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318
06037503302,14000US06037503302,Census Tract 5033.02,"Census Tract 5033.02, Los Angeles County, California",ca,140,0,ACSSF,5374,,,,,6,37,,,,503302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531
06037503401,14000US06037503401,Census Tract 5034.01,"Census Tract 5034.01, Los Angeles County, California",ca,140,0,ACSSF,5375,,,,,6,37,,,,503401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821
06037503402,14000US06037503402,Census Tract 5034.02,"Census Tract 5034.02, Los Angeles County, California",ca,140,0,ACSSF,5376,,,,,6,37,,,,503402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038
06037503501,14000US06037503501,Census Tract 5035.01,"Census Tract 5035.01, Los Angeles County, California",ca,140,0,ACSSF,5377,,,,,6,37,,,,503501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580
06037503502,14000US06037503502,Census Tract 5035.02,"Census Tract 5035.02, Los Angeles County, California",ca,140,0,ACSSF,5378,,,,,6,37,,,,503502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788
06037503601,14000US06037503601,Census Tract 5036.01,"Census Tract 5036.01, Los Angeles County, California",ca,140,0,ACSSF,5379,,,,,6,37,,,,503601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290
06037503602,14000US06037503602,Census Tract 5036.02,"Census Tract 5036.02, Los Angeles County, California",ca,140,0,ACSSF,5380,,,,,6,37,,,,503602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245
06037503701,14000US06037503701,Census Tract 5037.01,"Census Tract 5037.01, Los Angeles County, California",ca,140,0,ACSSF,5381,,,,,6,37,,,,503701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413
06037503702,14000US06037503702,Census Tract 5037.02,"Census Tract 5037.02, Los Angeles County, California",ca,140,0,ACSSF,5382,,,,,6,37,,,,503702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782
06037503703,14000US06037503703,Census Tract 5037.03,"Census Tract 5037.03, Los Angeles County, California",ca,140,0,ACSSF,5383,,,,,6,37,,,,503703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221
06037503801,14000US06037503801,Census Tract 5038.01,"Census Tract 5038.01, Los Angeles County, California",ca,140,0,ACSSF,5384,,,,,6,37,,,,503801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106
06037503802,14000US06037503802,Census Tract 5038.02,"Census Tract 5038.02, Los Angeles County, California",ca,140,0,ACSSF,5385,,,,,6,37,,,,503802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049
